K1 = 
  8  -1   0   0   0   0   0   0   0   0   0   0   0   0   0 
 -1   5  -4   0   0   0   0   0   0   0   0   0   0   0   0 
  0  -4   9  -5   0   0   0   0   0   0   0   0   0   0   0 
  0   0  -5  19 -14   0   0   0   0   0   0   0   0   0   0 
  0   0   0 -14  24 -10   0   0   0   0   0   0   0   0   0 
  0   0   0   0 -10  18  -8   0   0   0   0   0   0   0   0 
  0   0   0   0   0  -8  14  -6   0   0   0   0   0   0   0 
  0   0   0   0   0   0  -6  15  -9   0   0   0   0   0   0 
  0   0   0   0   0   0   0  -9  11  -2   0   0   0   0   0 
  0   0   0   0   0   0   0   0  -2  17 -15   0   0   0   0 
  0   0   0   0   0   0   0   0   0 -15  28 -13   0   0   0 
  0   0   0   0   0   0   0   0   0   0 -13  25 -12   0   0 
  0   0   0   0   0   0   0   0   0   0   0 -12  23 -11   0 
  0   0   0   0   0   0   0   0   0   0   0   0 -11  14  -3 
  0   0   0   0   0   0   0   0   0   0   0   0   0  -3  11 
b1 = 
78.40 117.60 58.80 9.80 68.60 127.40 39.20 147.00 49.00 88.20 19.60 98.00 137.20 29.40 107.80 
K2 = 
  9  -7   0   0   0   0   0   0   0   0   0   0   0   0   0 
 -7   8  -1   0   0   0   0   0   0   0   0   0   0   0   0 
  0  -1  10  -9   0   0   0   0   0   0   0   0   0   0   0 
  0   0  -9  21 -12   0   0   0   0   0   0   0   0   0   0 
  0   0   0 -12  25 -13   0   0   0   0   0   0   0   0   0 
  0   0   0   0 -13  18  -5   0   0   0   0   0   0   0   0 
  0   0   0   0   0  -5  13  -8   0   0   0   0   0   0   0 
  0   0   0   0   0   0  -8  19 -11   0   0   0   0   0   0 
  0   0   0   0   0   0   0 -11  14  -3   0   0   0   0   0 
  0   0   0   0   0   0   0   0  -3  17 -14   0   0   0   0 
  0   0   0   0   0   0   0   0   0 -14  18  -4   0   0   0 
  0   0   0   0   0   0   0   0   0   0  -4  14 -10   0   0 
  0   0   0   0   0   0   0   0   0   0   0 -10  16  -6   0 
  0   0   0   0   0   0   0   0   0   0   0   0  -6  21 -15 
  0   0   0   0   0   0   0   0   0   0   0   0   0 -15  27 
b2 = 
117.60 49.00 19.60 88.20 68.60 78.40 9.80 147.00 98.00 39.20 107.80 137.20 127.40 58.80 29.40 
K3 = 
 19 -10   0   0   0   0   0   0   0   0   0   0   0   0   0 
-10  14  -4   0   0   0   0   0   0   0   0   0   0   0   0 
  0  -4  11  -7   0   0   0   0   0   0   0   0   0   0   0 
  0   0  -7  13  -6   0   0   0   0   0   0   0   0   0   0 
  0   0   0  -6  14  -8   0   0   0   0   0   0   0   0   0 
  0   0   0   0  -8  19 -11   0   0   0   0   0   0   0   0 
  0   0   0   0   0 -11  23 -12   0   0   0   0   0   0   0 
  0   0   0   0   0   0 -12  25 -13   0   0   0   0   0   0 
  0   0   0   0   0   0   0 -13  14  -1   0   0   0   0   0 
  0   0   0   0   0   0   0   0  -1   4  -3   0   0   0   0 
  0   0   0   0   0   0   0   0   0  -3  17 -14   0   0   0 
  0   0   0   0   0   0   0   0   0   0 -14  16  -2   0   0 
  0   0   0   0   0   0   0   0   0   0   0  -2  17 -15   0 
  0   0   0   0   0   0   0   0   0   0   0   0 -15  20  -5 
  0   0   0   0   0   0   0   0   0   0   0   0   0  -5  11 
b3 = 
58.80 117.60 107.80 39.20 29.40 68.60 88.20 49.00 127.40 98.00 19.60 78.40 9.80 147.00 137.20 
K4 = 
 29 -15   0   0   0   0   0   0   0   0   0   0   0   0   0 
-15  24  -9   0   0   0   0   0   0   0   0   0   0   0   0 
  0  -9  15  -6   0   0   0   0   0   0   0   0   0   0   0 
  0   0  -6  19 -13   0   0   0   0   0   0   0   0   0   0 
  0   0   0 -13  15  -2   0   0   0   0   0   0   0   0   0 
  0   0   0   0  -2  14 -12   0   0   0   0   0   0   0   0 
  0   0   0   0   0 -12  22 -10   0   0   0   0   0   0   0 
  0   0   0   0   0   0 -10  11  -1   0   0   0   0   0   0 
  0   0   0   0   0   0   0  -1   9  -8   0   0   0   0   0 
  0   0   0   0   0   0   0   0  -8  15  -7   0   0   0   0 
  0   0   0   0   0   0   0   0   0  -7  18 -11   0   0   0 
  0   0   0   0   0   0   0   0   0   0 -11  14  -3   0   0 
  0   0   0   0   0   0   0   0   0   0   0  -3   7  -4   0 
  0   0   0   0   0   0   0   0   0   0   0   0  -4   9  -5 
  0   0   0   0   0   0   0   0   0   0   0   0   0  -5  17 
b4 = 
117.60 147.00 68.60 98.00 107.80 127.40 39.20 19.60 49.00 78.40 137.20 29.40 9.80 88.20 58.80 
